District,Date,Primary Type,Arrest,Crime Weightage,Label
1,5/3/16 7:40,BATTERY,False,2,0
2,5/3/16 21:45,BATTERY,False,2,1
22,5/3/16 22:30,CRIMINAL DAMAGE,False,3,0
19,5/3/16 21:30,CRIMINAL DAMAGE,False,3,1
17,5/3/16 13:00,THEFT,False,1,0
7,5/3/16 1:30,OTHER OFFENSE,False,2,0
18,5/3/16 10:00,DECEPTIVE PRACTICE,False,1,0
1,5/3/16 12:27,DECEPTIVE PRACTICE,False,1,0
14,5/3/16 18:30,MOTOR VEHICLE THEFT,False,2,0
15,5/3/16 14:30,BURGLARY,False,2,0
12,5/3/16 23:25,CRIMINAL DAMAGE,False,3,1
19,5/3/16 17:00,THEFT,False,1,1
12,5/3/16 14:00,THEFT,False,1,1
16,5/3/16 8:00,DECEPTIVE PRACTICE,False,1,0
24,5/3/16 18:00,THEFT,False,1,0
2,5/3/16 22:00,THEFT,False,1,0
18,5/3/16 0:00,OTHER OFFENSE,False,2,0
16,5/3/16 16:00,ASSAULT,False,3,0
12,5/4/16 8:00,CRIM SEXUAL ASSAULT,False,4,0
3,5/4/16 11:58,CRIMINAL TRESPASS,True,2,0
22,5/4/16 12:50,NARCOTICS,True,3,0
1,5/3/16 9:00,DECEPTIVE PRACTICE,False,1,0
24,5/3/16 17:00,SEX OFFENSE,False,4,0
4,5/3/16 16:00,THEFT,False,1,0
7,5/3/16 10:00,OTHER OFFENSE,False,2,0
8,5/3/16 12:00,THEFT,False,1,1
17,5/3/16 11:00,DECEPTIVE PRACTICE,False,1,0
12,5/4/16 12:50,OTHER OFFENSE,False,2,0
3,5/3/16 17:30,ROBBERY,False,1,0
6,5/4/16 8:00,THEFT,False,1,0
16,5/3/16 12:00,OTHER OFFENSE,False,2,0
11,5/3/16 17:00,BURGLARY,False,2,0
8,5/3/16 7:00,DECEPTIVE PRACTICE,False,1,0
4,5/3/16 13:00,THEFT,False,1,0
6,3/21/16 9:00,DECEPTIVE PRACTICE,False,1,0
3,4/1/16 15:00,THEFT,False,1,0
14,4/1/16 12:30,OTHER OFFENSE,False,2,0
19,4/5/16 0:01,DECEPTIVE PRACTICE,False,1,0
25,1/15/16 9:00,THEFT,False,1,0
19,1/1/16 0:00,OBSCENITY,True,1,0
4,4/12/16 16:00,ASSAULT,False,3,1
9,5/1/16 11:40,ROBBERY,False,1,0
5,1/1/16 0:01,OFFENSE INVOLVING CHILDREN,False,4,0
10,4/2/16 12:12,OTHER OFFENSE,False,2,0
17,4/9/16 10:00,OTHER OFFENSE,False,2,0
7,2/28/16 0:01,THEFT,False,1,0
16,4/1/16 12:00,OTHER OFFENSE,False,2,0
18,4/4/16 15:15,THEFT,False,1,1
10,4/11/16 0:01,DECEPTIVE PRACTICE,False,1,0
18,3/9/16 10:45,DECEPTIVE PRACTICE,False,1,0
9,4/1/16 15:00,KIDNAPPING,False,3,0
14,3/15/16 9:00,THEFT,False,1,1
14,3/15/16 12:00,DECEPTIVE PRACTICE,False,1,0
5,3/14/16 12:00,DECEPTIVE PRACTICE,False,1,0
6,3/1/16 9:00,OTHER OFFENSE,False,2,0
8,5/3/16 21:08,HOMICIDE,False,4,0
15,5/3/16 14:00,HOMICIDE,False,4,0
9,5/4/16 0:01,BATTERY,False,2,1
7,5/4/16 0:47,WEAPONS VIOLATION,False,2,0
11,5/4/16 0:15,NARCOTICS,True,3,1
8,5/4/16 0:14,NARCOTICS,True,3,0
5,5/4/16 0:17,ASSAULT,True,2,0
5,5/4/16 0:08,ASSAULT,False,3,0
4,5/4/16 0:00,BATTERY,False,2,1
7,5/4/16 0:45,ASSAULT,False,3,1
9,5/4/16 0:45,BATTERY,False,2,1
12,5/4/16 1:40,CRIMINAL DAMAGE,False,3,1
15,5/4/16 0:00,DECEPTIVE PRACTICE,False,1,0
2,1/13/16 17:50,ROBBERY,True,0,0
20,1/19/16 16:39,ROBBERY,True,0,0
24,1/25/16 8:58,ROBBERY,True,0,0
24,2/5/16 8:59,ROBBERY,True,0,0
24,2/18/16 8:50,ROBBERY,True,0,0
2,3/2/16 16:54,ROBBERY,True,0,0
17,3/5/16 5:47,OTHER OFFENSE,False,2,0
10,3/14/16 10:15,BURGLARY,False,2,0
25,3/18/16 8:42,CRIMINAL DAMAGE,True,2,1
22,2/27/16 15:45,BURGLARY,False,2,0
25,3/22/16 10:45,BATTERY,True,1,1
25,3/31/16 0:22,CRIMINAL DAMAGE,False,3,1
6,4/11/16 23:30,DECEPTIVE PRACTICE,True,0,0
11,4/17/16 22:30,DECEPTIVE PRACTICE,True,0,0
9,5/4/16 11:50,BATTERY,False,2,1
2,4/18/16 10:50,OTHER OFFENSE,True,1,0
3,2/2/16 23:59,OTHER OFFENSE,True,1,0
10,4/22/16 11:21,WEAPONS VIOLATION,True,1,0
10,4/24/16 14:45,ASSAULT,True,2,0
3,5/4/16 11:53,BATTERY,False,2,1
2,4/25/16 11:10,DECEPTIVE PRACTICE,False,1,0
5,4/15/16 23:56,DECEPTIVE PRACTICE,False,1,0
2,4/25/16 19:12,DECEPTIVE PRACTICE,True,0,0
12,4/26/16 16:55,BATTERY,True,1,1
3,4/27/16 13:44,BATTERY,True,1,1
3,4/28/16 16:15,BATTERY,True,1,1
18,5/2/16 8:30,THEFT,False,1,1
11,5/4/16 11:55,ROBBERY,False,1,0
16,5/3/16 16:00,OFFENSE INVOLVING CHILDREN,False,4,0
1,5/3/16 12:25,THEFT,False,1,1
2,3/31/16 14:00,THEFT,False,1,0
8,5/3/16 8:00,BURGLARY,False,2,0
15,4/4/16 14:50,ASSAULT,True,2,0
6,5/5/16 5:30,BURGLARY,False,2,0
18,5/5/16 14:45,ROBBERY,False,1,0
6,5/5/16 17:15,BATTERY,False,2,1
11,5/5/16 15:46,NARCOTICS,True,3,1
11,5/5/16 18:50,NARCOTICS,True,3,1
19,5/5/16 20:05,THEFT,False,1,1
15,5/5/16 19:06,ASSAULT,True,2,0
14,5/5/16 16:15,CRIMINAL DAMAGE,False,3,1
18,5/5/16 16:45,THEFT,False,1,1
11,5/5/16 19:23,ASSAULT,True,2,1
24,5/5/16 19:09,NARCOTICS,True,3,0
18,5/5/16 18:36,THEFT,False,1,1
24,5/5/16 10:30,THEFT,False,1,0
24,5/5/16 0:50,BURGLARY,False,2,0
18,5/5/16 18:15,THEFT,True,0,1
15,5/5/16 16:00,BATTERY,False,2,1
25,5/5/16 19:45,OTHER OFFENSE,True,1,0
5,5/5/16 18:36,WEAPONS VIOLATION,True,1,0
1,5/5/16 18:30,THEFT,False,1,1
8,5/6/16 1:00,BATTERY,False,2,1
11,5/5/16 9:30,OFFENSE INVOLVING CHILDREN,False,4,0
25,5/5/16 19:40,NARCOTICS,True,3,0
11,5/5/16 17:30,KIDNAPPING,False,3,0
11,5/5/16 19:57,NARCOTICS,True,3,1
25,5/5/16 17:45,BATTERY,False,2,1
25,5/5/16 18:25,THEFT,False,1,0
8,5/5/16 17:00,ASSAULT,False,3,0
11,5/5/16 19:00,NARCOTICS,True,3,1
16,5/5/16 14:00,DECEPTIVE PRACTICE,False,1,0
5,5/5/16 19:00,THEFT,True,0,0
3,5/5/16 20:09,ASSAULT,False,3,0
24,5/5/16 21:00,CRIMINAL DAMAGE,False,3,0
15,5/5/16 20:40,ROBBERY,False,1,0
11,5/5/16 20:40,PUBLIC PEACE VIOLATION,True,2,0
25,5/5/16 20:15,CRIMINAL DAMAGE,False,3,1
19,5/5/16 8:30,BURGLARY,False,2,0
22,5/5/16 20:30,CRIMINAL DAMAGE,False,3,0
1,5/5/16 19:00,THEFT,False,1,1
10,5/6/16 2:45,BATTERY,False,2,1
25,5/5/16 19:23,NARCOTICS,True,3,0
19,5/5/16 19:45,CRIMINAL TRESPASS,True,2,0
25,5/5/16 20:00,CRIMINAL DAMAGE,False,3,1
25,5/5/16 16:45,CRIMINAL DAMAGE,False,3,1
25,5/5/16 20:45,ROBBERY,False,1,0
22,5/5/16 18:19,THEFT,False,1,0
25,5/6/16 2:01,CRIMINAL DAMAGE,False,3,1
4,5/6/16 1:30,BATTERY,True,1,1
16,5/5/16 19:43,THEFT,True,0,0
17,5/5/16 21:00,ROBBERY,False,1,0
14,5/5/16 20:43,CRIMINAL DAMAGE,True,2,1
22,5/5/16 19:45,OTHER OFFENSE,True,1,0
7,5/5/16 20:45,ASSAULT,False,3,1
25,5/5/16 20:29,ASSAULT,True,2,0
10,5/5/16 19:55,BATTERY,False,2,1
4,5/5/16 8:30,BATTERY,False,2,1
5,5/5/16 18:00,BATTERY,True,1,1
4,5/5/16 19:15,BATTERY,False,2,1
3,5/5/16 21:05,CRIMINAL DAMAGE,False,3,1
11,5/5/16 21:24,ASSAULT,False,3,1
11,5/5/16 18:30,BATTERY,False,2,1
11,5/5/16 21:14,BATTERY,False,2,1
10,5/5/16 19:34,ASSAULT,False,3,0
1,5/5/16 21:05,BATTERY,False,2,0
11,5/5/16 21:17,NARCOTICS,True,3,1
4,5/5/16 18:21,OFFENSE INVOLVING CHILDREN,False,4,0
16,5/5/16 17:00,SEX OFFENSE,False,4,0
4,5/5/16 22:10,NARCOTICS,True,3,0
25,5/5/16 21:46,BATTERY,True,1,1
11,5/5/16 21:30,BATTERY,False,2,1
20,5/5/16 20:40,THEFT,True,0,0
19,5/5/16 21:13,CRIMINAL TRESPASS,False,3,0
5,5/5/16 10:12,BATTERY,False,2,1
22,5/5/16 21:26,OTHER OFFENSE,True,1,0
22,5/5/16 19:30,ASSAULT,False,3,0
22,5/5/16 19:05,BATTERY,False,2,1
8,5/5/16 22:30,MOTOR VEHICLE THEFT,False,2,0
14,5/5/16 21:20,OTHER OFFENSE,False,2,0
11,5/5/16 22:00,MOTOR VEHICLE THEFT,False,2,0
7,5/5/16 21:48,CRIMINAL DAMAGE,False,3,1
25,5/5/16 21:30,MOTOR VEHICLE THEFT,False,2,0
11,5/5/16 21:00,CRIMINAL DAMAGE,False,3,1
17,5/5/16 20:45,BATTERY,False,2,0
10,5/5/16 21:17,BATTERY,False,2,1
10,5/5/16 21:30,NARCOTICS,True,3,0
4,5/5/16 19:44,NARCOTICS,True,3,0
9,5/5/16 18:45,CRIMINAL DAMAGE,False,3,1
9,5/5/16 22:20,OTHER OFFENSE,False,2,0
14,5/5/16 21:00,THEFT,False,1,1
2,5/5/16 21:00,THEFT,False,1,0
18,5/5/16 22:21,CRIMINAL TRESPASS,True,2,0
25,5/5/16 22:30,CRIMINAL DAMAGE,False,3,1
14,5/5/16 20:00,THEFT,False,1,1
8,5/5/16 22:00,NARCOTICS,True,3,0
22,5/5/16 23:31,OTHER OFFENSE,True,1,0
6,5/5/16 7:45,BURGLARY,False,2,0
25,5/5/16 22:00,CRIMINAL DAMAGE,False,3,1
22,5/5/16 22:40,PUBLIC PEACE VIOLATION,False,3,0
9,5/5/16 21:35,CRIMINAL DAMAGE,False,3,1
9,5/5/16 15:00,BATTERY,False,2,1
9,5/5/16 8:20,BURGLARY,False,2,0
22,5/5/16 22:30,OTHER OFFENSE,False,2,0
11,5/5/16 19:10,INTERFERENCE WITH PUBLIC OFFICER,True,3,0
19,5/5/16 19:15,BURGLARY,False,2,0
14,5/5/16 23:39,NARCOTICS,True,3,0
14,5/5/16 23:32,INTERFERENCE WITH PUBLIC OFFICER,True,3,0
12,5/5/16 23:08,OTHER OFFENSE,True,1,0
9,5/5/16 21:10,BATTERY,False,2,1
15,5/5/16 19:45,BURGLARY,False,2,0
15,5/5/16 23:50,CRIMINAL DAMAGE,False,3,0
8,5/5/16 23:45,NARCOTICS,True,3,0
1,5/5/16 23:55,THEFT,False,1,1
18,5/5/16 23:59,NARCOTICS,True,3,0
8,5/5/16 18:30,THEFT,False,1,1
3,5/5/16 23:32,NARCOTICS,True,3,0
22,5/5/16 21:20,THEFT,False,1,0
12,5/5/16 8:00,THEFT,False,1,1
22,5/5/16 23:25,BATTERY,False,2,1
12,5/5/16 17:00,MOTOR VEHICLE THEFT,False,2,0
22,5/5/16 21:30,THEFT,False,1,0
11,5/5/16 23:45,BATTERY,False,2,1
11,5/5/16 23:17,BATTERY,False,2,1
22,5/5/16 20:40,ASSAULT,False,3,0
22,5/5/16 23:45,BATTERY,False,2,1
5,5/5/16 22:25,BATTERY,False,2,1
8,5/5/16 23:30,THEFT,False,1,1
8,5/5/16 22:30,CRIMINAL DAMAGE,False,3,1
12,5/5/16 22:11,CRIMINAL TRESPASS,True,2,0
18,5/5/16 22:30,THEFT,False,1,1
1,5/5/16 21:00,OFFENSE INVOLVING CHILDREN,False,4,0
16,5/5/16 22:30,THEFT,False,1,0
3,5/5/16 21:00,BATTERY,False,2,1
3,5/5/16 22:00,ASSAULT,False,3,0
3,5/5/16 20:25,OFFENSE INVOLVING CHILDREN,False,4,0
25,5/5/16 23:20,BATTERY,False,2,1
18,5/5/16 23:00,THEFT,False,1,1
11,5/5/16 11:30,ROBBERY,False,1,0
9,5/5/16 21:00,BURGLARY,False,2,0
11,5/5/16 22:45,NARCOTICS,True,3,1
19,5/5/16 23:30,THEFT,False,1,1
7,5/5/16 23:45,OTHER OFFENSE,False,2,0
8,5/5/16 22:30,THEFT,False,1,1
9,5/5/16 19:00,BURGLARY,False,2,0
22,5/5/16 23:55,NARCOTICS,True,3,0
10,5/5/16 18:00,MOTOR VEHICLE THEFT,False,2,0
12,5/5/16 16:00,BURGLARY,False,2,0
17,5/5/16 23:00,THEFT,False,1,0
14,5/5/16 21:30,THEFT,False,1,1
14,5/5/16 23:30,BURGLARY,False,2,0
15,5/5/16 23:48,BATTERY,False,2,1
3,5/5/16 11:55,ROBBERY,False,1,0
14,5/5/16 9:45,THEFT,False,1,1
17,5/5/16 18:00,MOTOR VEHICLE THEFT,False,2,0
4,5/5/16 22:00,THEFT,False,1,0
15,5/5/16 23:30,ASSAULT,False,3,0
14,5/5/16 22:30,THEFT,False,1,1
16,5/5/16 18:00,CRIMINAL DAMAGE,False,3,1
12,5/5/16 17:00,CRIMINAL DAMAGE,False,3,1
25,5/5/16 21:30,MOTOR VEHICLE THEFT,False,2,0
17,5/5/16 18:30,MOTOR VEHICLE THEFT,False,2,0
25,5/5/16 21:00,THEFT,False,1,0
24,5/5/16 18:00,THEFT,False,1,0
17,5/5/16 21:00,BURGLARY,False,2,0
18,5/5/16 20:30,THEFT,False,1,1
1,5/5/16 11:30,THEFT,False,1,1
18,5/5/16 18:40,THEFT,False,1,1
24,5/5/16 0:01,CRIMINAL DAMAGE,False,3,0
8,5/5/16 17:00,THEFT,False,1,1
17,5/5/16 12:00,THEFT,False,1,0
12,5/5/16 20:00,THEFT,False,1,1
4,5/5/16 11:58,DECEPTIVE PRACTICE,False,1,0
12,5/5/16 17:00,THEFT,False,1,1
6,5/5/16 19:00,BATTERY,False,2,1
2,5/5/16 21:00,THEFT,False,1,0
11,5/5/16 20:00,BURGLARY,False,2,0
15,5/5/16 17:00,BATTERY,False,2,1
6,5/5/16 18:30,OTHER OFFENSE,False,2,0
8,5/5/16 22:00,CRIMINAL DAMAGE,False,3,1
17,5/5/16 21:00,BATTERY,False,2,0
2,5/5/16 11:00,OTHER OFFENSE,True,1,0
25,5/5/16 17:00,CRIMINAL DAMAGE,False,3,1
11,5/5/16 15:00,BURGLARY,False,2,0
1,5/5/16 10:30,OTHER OFFENSE,False,2,0
22,5/5/16 21:30,THEFT,False,1,0
14,5/5/16 6:00,BURGLARY,False,2,0
10,5/5/16 21:30,ASSAULT,False,3,0
3,5/5/16 17:00,THEFT,False,1,0
14,5/5/16 19:30,THEFT,False,1,1
2,5/5/16 21:00,CRIMINAL DAMAGE,False,3,1
18,5/5/16 14:00,DECEPTIVE PRACTICE,False,1,0
14,5/5/16 18:00,THEFT,False,1,1
1,5/5/16 18:45,THEFT,False,1,1
11,5/5/16 22:30,THEFT,False,1,0
19,5/5/16 21:00,THEFT,False,1,1
9,5/5/16 10:30,BURGLARY,False,2,0
7,5/5/16 8:00,CRIM SEXUAL ASSAULT,False,4,0
14,5/5/16 21:00,CRIMINAL DAMAGE,False,3,1
12,5/5/16 8:00,ASSAULT,False,3,1
17,5/5/16 19:00,MOTOR VEHICLE THEFT,False,2,0
10,5/5/16 15:30,BATTERY,False,2,1
3,5/5/16 14:00,ASSAULT,True,2,0
25,5/5/16 13:00,THEFT,False,1,0
12,5/5/16 11:30,DECEPTIVE PRACTICE,False,1,0
24,5/5/16 7:00,THEFT,False,1,0
19,5/5/16 16:00,THEFT,False,1,1
14,5/5/16 20:30,THEFT,False,1,1
4,5/5/16 16:30,CRIMINAL TRESPASS,False,3,0
9,5/5/16 15:00,MOTOR VEHICLE THEFT,False,2,0
5,5/5/16 16:15,BATTERY,False,2,1
10,5/5/16 23:30,CRIMINAL DAMAGE,False,3,1
20,5/5/16 23:05,BATTERY,False,2,0
8,5/5/16 15:30,DECEPTIVE PRACTICE,False,1,0
15,5/5/16 19:30,THEFT,False,1,0
12,5/5/16 22:30,THEFT,False,1,1
8,5/5/16 23:30,THEFT,False,1,1
8,5/5/16 18:40,OTHER OFFENSE,False,2,0
6,5/5/16 16:00,THEFT,False,1,0
11,5/5/16 23:30,THEFT,False,1,0
9,5/5/16 22:00,THEFT,False,1,0
6,5/5/16 17:30,CRIMINAL DAMAGE,False,3,1
25,5/5/16 19:00,CRIMINAL DAMAGE,False,3,1
10,5/5/16 19:00,THEFT,False,1,0
8,5/5/16 13:50,THEFT,False,1,1
4,5/5/16 10:00,BATTERY,False,2,1
19,5/5/16 23:00,THEFT,False,1,1
14,5/5/16 9:30,OFFENSE INVOLVING CHILDREN,False,4,0
14,5/5/16 14:20,BATTERY,False,2,0
3,5/5/16 17:00,BATTERY,False,2,1
9,5/5/16 16:00,OFFENSE INVOLVING CHILDREN,False,4,0
8,5/5/16 0:01,MOTOR VEHICLE THEFT,False,2,0
15,5/5/16 18:00,CRIMINAL DAMAGE,False,3,0
8,5/5/16 21:30,THEFT,False,1,1
25,5/5/16 13:00,ASSAULT,False,3,0
25,5/5/16 12:00,DECEPTIVE PRACTICE,False,1,0
7,5/5/16 10:00,DECEPTIVE PRACTICE,False,1,0
14,5/5/16 0:19,ROBBERY,False,1,0
5,5/5/16 14:00,OTHER OFFENSE,False,2,0
12,5/5/16 5:00,DECEPTIVE PRACTICE,False,1,0
3,5/5/16 19:00,THEFT,False,1,0
24,5/5/16 12:00,THEFT,False,1,0
3,5/5/16 13:15,OTHER OFFENSE,False,2,0
8,5/5/16 22:30,THEFT,False,1,1
6,5/5/16 7:30,MOTOR VEHICLE THEFT,False,2,0
22,5/5/16 18:00,BURGLARY,False,2,0
3,5/5/16 15:00,ASSAULT,False,3,0
8,5/5/16 13:20,THEFT,False,1,1
7,5/5/16 7:35,ASSAULT,False,3,1
14,5/5/16 2:00,CRIMINAL DAMAGE,False,3,1
20,5/5/16 18:30,CRIMINAL DAMAGE,False,3,0
10,5/5/16 13:08,OTHER OFFENSE,False,2,0
25,5/5/16 11:27,OTHER OFFENSE,False,2,0
19,5/5/16 9:00,OTHER OFFENSE,False,2,0
11,3/22/16 13:50,SEX OFFENSE,False,4,0
12,5/5/16 21:00,MOTOR VEHICLE THEFT,False,2,0
25,5/5/16 12:30,BATTERY,False,2,1
18,5/5/16 16:55,THEFT,False,1,1
18,5/5/16 18:00,THEFT,False,1,1
8,5/5/16 14:00,THEFT,False,1,1
10,5/5/16 16:20,ASSAULT,False,3,0
3,3/7/16 0:00,CRIM SEXUAL ASSAULT,False,4,0
15,1/6/16 12:20,BATTERY,False,2,1
18,4/4/16 1:00,THEFT,False,1,1
15,4/12/16 10:00,THEFT,False,1,0
25,2/27/16 12:00,DECEPTIVE PRACTICE,False,1,0
8,4/2/16 19:00,CRIMINAL DAMAGE,False,3,1
24,3/29/16 17:00,BURGLARY,False,2,0
17,4/6/16 9:00,DECEPTIVE PRACTICE,False,1,0
10,4/3/16 11:00,THEFT,False,1,0
22,3/25/16 1:00,OTHER OFFENSE,False,2,0
18,2/25/16 12:00,OTHER OFFENSE,False,2,0
18,4/7/16 18:30,THEFT,False,1,1
12,5/6/16 17:23,DECEPTIVE PRACTICE,False,1,0
15,5/6/16 16:00,CRIMINAL DAMAGE,False,3,0
9,5/6/16 18:42,BATTERY,True,1,1
20,5/6/16 0:01,BATTERY,True,1,0
15,3/13/16 21:43,DECEPTIVE PRACTICE,True,0,0
11,3/16/16 10:49,DECEPTIVE PRACTICE,True,0,0
12,3/19/16 11:19,THEFT,True,0,1
19,3/18/16 20:00,MOTOR VEHICLE THEFT,True,1,0
12,3/29/16 2:10,WEAPONS VIOLATION,True,1,0
17,4/8/16 9:18,MOTOR VEHICLE THEFT,True,1,0
25,4/11/16 18:00,MOTOR VEHICLE THEFT,True,1,0
6,4/13/16 23:50,THEFT,True,0,0
25,4/13/16 20:30,MOTOR VEHICLE THEFT,True,1,0
15,4/13/16 1:00,MOTOR VEHICLE THEFT,True,1,0
17,4/13/16 21:30,ASSAULT,True,2,0
25,4/16/16 18:00,MOTOR VEHICLE THEFT,True,1,0
11,4/18/16 1:00,MOTOR VEHICLE THEFT,True,1,0
16,4/18/16 17:30,MOTOR VEHICLE THEFT,True,1,0
7,4/20/16 21:30,BATTERY,True,1,1
8,4/22/16 18:00,BURGLARY,False,2,0
20,4/24/16 0:30,MOTOR VEHICLE THEFT,True,1,0
7,4/24/16 10:40,OTHER OFFENSE,True,1,0
11,4/21/16 19:00,OFFENSE INVOLVING CHILDREN,True,3,0
19,4/24/16 22:00,MOTOR VEHICLE THEFT,True,1,0
19,4/26/16 18:50,MOTOR VEHICLE THEFT,True,1,0
1,4/29/16 11:17,ROBBERY,True,0,0
24,5/1/16 14:30,THEFT,False,1,0
10,5/3/16 18:05,OTHER OFFENSE,True,1,0
10,5/3/16 21:02,BATTERY,True,1,1
9,5/3/16 5:00,CRIM SEXUAL ASSAULT,False,4,0
2,4/26/16 8:00,OTHER OFFENSE,False,2,0
20,3/22/16 12:00,DECEPTIVE PRACTICE,False,1,0
10,5/6/16 3:05,CRIMINAL DAMAGE,False,3,1
16,5/6/16 1:40,ROBBERY,False,1,0
14,5/6/16 1:50,BATTERY,False,2,0
2,5/6/16 2:30,ASSAULT,True,2,0
14,5/6/16 3:02,BATTERY,True,1,0
16,5/6/16 0:30,CRIMINAL DAMAGE,False,3,1
17,5/6/16 0:00,CRIMINAL DAMAGE,False,3,1
20,5/6/16 0:30,BATTERY,False,2,0
25,5/6/16 1:30,ASSAULT,False,3,0
3,5/6/16 3:30,THEFT,False,1,0
8,5/6/16 2:46,NARCOTICS,True,3,0
16,5/6/16 4:01,BATTERY,True,1,0
19,5/6/16 0:30,THEFT,False,1,1
19,5/6/16 2:50,THEFT,False,1,1
19,5/6/16 1:59,CRIMINAL TRESPASS,False,3,0
12,5/6/16 3:00,CRIMINAL TRESPASS,False,3,0
19,5/6/16 3:30,BATTERY,False,2,0
18,5/6/16 2:00,THEFT,False,1,1
19,5/6/16 3:24,DECEPTIVE PRACTICE,False,1,0
19,5/6/16 1:20,BATTERY,False,2,0
19,5/6/16 2:11,ROBBERY,False,1,0
18,5/6/16 0:30,BATTERY,False,2,0
7,5/6/16 3:22,BATTERY,False,2,1
7,5/6/16 4:42,OTHER OFFENSE,False,2,0
20,5/6/16 4:30,CRIMINAL DAMAGE,False,3,0
1,5/6/16 0:01,THEFT,False,1,1
3,5/6/16 1:20,ROBBERY,False,1,0
22,5/6/16 3:30,BATTERY,False,2,1
12,5/6/16 5:25,BURGLARY,False,2,0
12,5/6/16 0:01,THEFT,False,1,1
14,5/6/16 2:55,DECEPTIVE PRACTICE,False,1,0
8,5/6/16 6:45,MOTOR VEHICLE THEFT,False,2,0
4,5/6/16 5:30,CRIMINAL DAMAGE,True,2,1
18,5/6/16 5:42,CRIMINAL TRESPASS,True,2,0
3,5/6/16 7:15,BATTERY,False,2,1
8,5/6/16 3:30,BATTERY,False,2,1
16,5/6/16 8:05,BATTERY,False,2,0
12,5/6/16 6:00,THEFT,False,1,1
17,5/6/16 0:01,CRIMINAL TRESPASS,False,3,0
16,5/6/16 7:00,THEFT,False,1,0
17,5/6/16 7:30,CRIMINAL DAMAGE,False,3,1
6,5/6/16 1:00,OTHER OFFENSE,False,2,0
16,5/6/16 7:35,CRIMINAL TRESPASS,True,2,0
17,5/6/16 0:01,THEFT,False,1,0
17,5/6/16 7:45,BATTERY,True,1,0
